PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
OK4005554,DBA THE MIDWAY CLUB,"73110, Midwest City, Oklahoma",73110,Oklahoma,Region 6,Transient non-community system,26,,Oklahoma,3,21,20,-97.392924,35.480231,-97.392924,35.480231,-97.444924,-97.340924,35.428231,35.532231
OK2001904,COUNTRY HILLS MHP (CREEK CO),"74010, Bristow, Oklahoma",74010,Oklahoma,Region 6,Transient non-community system,30,,Creek,4,4,15,-96.387451,35.82905,-96.387451,35.82905,-96.590451,-96.184451,35.62605,36.03205
OK4006359,ABUELITA ROSAS,"74864, Prague, Oklahoma",74864,Oklahoma,Region 6,Transient non-community system,25,,Pottawatomie,2,21,22,-96.683506,35.480742,-96.683506,35.480742,-96.829506,-96.537506,35.334742,35.626742
OK2002603,ALEX,"73002, Alex, Oklahoma",73002,Oklahoma,Region 6,Community water system,635,,Grady,12,18,54,-97.666187,34.974832,-97.666187,34.974832,-97.798187,-97.534187,34.842832,35.106832
OK2005504,DEER CREEK RURAL WATER CORP,"73012, Edmond, Oklahoma",73012,Oklahoma,Region 6,Community water system,5500,,Oklahoma,45,31,41,-97.538292,35.65331,-97.538292,35.65331,-97.674292,-97.402292,35.51731,35.78931
OK3002603,GRADY CO RWD #6,"73004, Amber, Oklahoma",73004,Oklahoma,Region 6,Community water system,3930,,Grady,18,10,39,-97.881937,35.162401,-97.881937,35.162401,-98.027937,-97.735937,35.016401,35.308401
OK2004204,CRESCENT,"73028, Cimarron City, Oklahoma",73028,Oklahoma,Region 6,Community water system,1411,,Logan,7,18,58,-97.597872,35.952871,-97.597872,35.952871,-97.746872,-97.448872,35.803871,36.101871
OK2004206,LOGAN CO RWD #2,"73028, Cimarron City, Oklahoma",73028,Oklahoma,Region 6,Community water system,1146,,Logan,16,121,72,-97.597872,35.952871,-97.597872,35.952871,-97.746872,-97.448872,35.803871,36.101871
OK3000805,CYRIL,"73029, Cyril, Oklahoma",73029,Oklahoma,Region 6,Community water system,1168,,Caddo,2,10,23,-98.202342,34.898695,-98.202342,34.898695,-98.268342,-98.136342,34.832695,34.964695
OK1010840,FALLS CREEK BAPTIST CONFERENCE CENTER,"73112, Oklahoma City, Oklahoma",73112,Oklahoma,Region 6,Community water system,7000,,Murray,5,13,69,-97.579251,35.523901,-97.579251,35.523901,-97.615251,-97.543251,35.487901,35.559901
OK1010822,DAVIS,"73030, Davis, Oklahoma",73030,Oklahoma,Region 6,Community water system,2610,,Murray,7,22,94,-97.118505,34.502761,-97.118505,34.502761,-97.352505,-96.884505,34.268761,34.736761
OK1010824,DOUGHERTY,"73032, Dougherty, Oklahoma",73032,Oklahoma,Region 6,Community water system,224,,Murray,6,132,97,-97.054241,34.400391,-97.054241,34.400391,-97.067241,-97.041241,34.387391,34.413391
OK2000808,EAKLY DEVELOPMENT CORP,"73033, Eakly, Oklahoma",73033,Oklahoma,Region 6,Community water system,277,,Caddo,8,138,37,-98.554933,35.303996,-98.554933,35.303996,-98.561933,-98.547933,35.296996,35.310996
OK2004205,ROCK CREEK,"73034, Edmond, Oklahoma",73034,Oklahoma,Region 6,Community water system,140,,Logan,9,27,38,-97.474937,35.662161,-97.474937,35.662161,-97.588937,-97.360937,35.548161,35.776161
OK4005580,BOYS RANCH TOWN,"73013, Edmond, Oklahoma",73013,Oklahoma,Region 6,Community water system,75,,Oklahoma,11,34,42,-97.479052,35.618281,-97.479052,35.618281,-97.674052,-97.284052,35.423281,35.813281
OK5005547,"COFFEE CREEK MHP, LLC","73034, Edmond, Oklahoma",73034,Oklahoma,Region 6,Community water system,120,,Oklahoma,6,5,29,-97.474937,35.662161,-97.474937,35.662161,-97.588937,-97.360937,35.548161,35.776161
OK2000830,NOWHERE BAIT SHOP,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,25,,Caddo,2,25,18,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK2000818,FORT COBB SP BLACKJACK COVE,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,50,,Caddo,7,8,18,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK2000810,FORT COBB,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Community water system,667,,Caddo,10,8,40,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK2000817,FORT COBB SP WHITES CATFISH COVE,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,25,,Caddo,9,4,22,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK2000908,CANADIAN CO RWD # 1,"73014, Calumet, Oklahoma",73014,Oklahoma,Region 6,Community water system,750,,Canadian,14,127,58,-98.242811,35.527739,-98.242811,35.527739,-98.461811,-98.023811,35.308739,35.746739
OK2000634,LARIAT CREEK CHRISTIAN CAMP,"73096, Weatherford, Oklahoma",73096,Oklahoma,Region 6,Transient non-community system,25,,Blaine,4,5,14,-98.709382,35.53254,-98.709382,35.53254,-98.870382,-98.548382,35.37154,35.69354
OK2002521,ELMORE CITY,"73433, Pernell, Oklahoma",73433,Oklahoma,Region 6,Community water system,756,,Garvin,10,53,38,-97.394017,34.623415,-97.394017,34.623415,-97.563017,-97.225017,34.454415,34.792415
OK3002505,ELMORE CITY RW CORP,"73433, Pernell, Oklahoma",73433,Oklahoma,Region 6,Community water system,1107,,Garvin,4,14,23,-97.394017,34.623415,-97.394017,34.623415,-97.563017,-97.225017,34.454415,34.792415
OK2000902,EL RENO,"73036, El Reno, Oklahoma",73036,Oklahoma,Region 6,Community water system,16212,,Canadian,40,75,84,-97.955078,35.531246,-97.955078,35.531246,-98.153078,-97.757078,35.333246,35.729246
OK2000930,CANADIAN CO RWD # 4,"73036, El Reno, Oklahoma",73036,Oklahoma,Region 6,Community water system,907,,Canadian,12,11,33,-97.955078,35.531246,-97.955078,35.531246,-98.153078,-97.757078,35.333246,35.729246
OK3000903,CANADIAN CO WATER AUTHORITY,"73036, El Reno, Oklahoma",73036,Oklahoma,Region 6,Community water system,1700,,Canadian,4,12,23,-97.955078,35.531246,-97.955078,35.531246,-98.153078,-97.757078,35.333246,35.729246
OK3000901,"CANADIAN CO RW, S &SWMD #5","73036, El Reno, Oklahoma",73036,Oklahoma,Region 6,Community water system,316,,Canadian,4,46,19,-97.955078,35.531246,-97.955078,35.531246,-98.153078,-97.757078,35.333246,35.729246
OK2000896,FORT COBB SP SUNSET COVE,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,25,,Caddo,4,5,21,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK2000877,DECK BOAT MOTEL & CAFE,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,150,,Caddo,2,15,15,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK3002601,"NORGE WATER AND SEWER CO., INC","73023, Chickasha, Oklahoma",73023,Oklahoma,Region 6,Community water system,890,,Grady,3,22,25,-97.941631,35.050341,-97.941631,35.050341,-97.946631,-97.936631,35.045341,35.055341
OK2007501,CORN PWA,"73024, Corn, Oklahoma",73024,Oklahoma,Region 6,Community water system,591,,Washita,6,46,38,-98.780897,35.381231,-98.780897,35.381231,-98.977897,-98.583897,35.184231,35.578231
OK2002623,SCHIFLETT PROPERTIES,"73010, Blanchard, Oklahoma",73010,Oklahoma,Region 6,Transient non-community system,26,,Grady,2,17,28,-97.658166,35.138111,-97.658166,35.138111,-97.828166,-97.488166,34.968111,35.308111
OK2002694,BRIDGE CREEK SCHOOL,"73010, Blanchard, Oklahoma",73010,Oklahoma,Region 6,Non-Transient non-community system,800,,Grady,9,38,40,-97.658166,35.138111,-97.658166,35.138111,-97.828166,-97.488166,34.968111,35.308111
OK3004710,BLANCHARD,"73010, Blanchard, Oklahoma",73010,Oklahoma,Region 6,Community water system,2966,,McClain,4,30,30,-97.658166,35.138111,-97.658166,35.138111,-97.828166,-97.488166,34.968111,35.308111
OK7005567,CHOCTAW-NICOMA PARK (CHS BOREN CENTER),"73020, Choctaw, Oklahoma",73020,Oklahoma,Region 6,Transient non-community system,250,,Oklahoma,2,3,26,-97.268727,35.499997,-97.268727,35.499997,-97.420727,-97.116727,35.347997,35.651997
OK2002318,ELLIS CO RWD#1,"73841, Fort Supply, Oklahoma",73841,Oklahoma,Region 6,Community water system,43,,Ellis,6,6,16,-99.574666,36.572599,-99.574666,36.572599,-99.682666,-99.466666,36.464599,36.680599
OK2004284,ELKS LODGE 2578 EDMOND,"73083, Edmond, Oklahoma",73083,Oklahoma,Region 6,Transient non-community system,35,,Logan,2,11,14,-97.481285,35.657709,-97.481285,35.657709,-97.482285,-97.480285,35.656709,35.658709
OK2004188,OUR LADY OF GUADALUPE CATHOLIC YOUTH CAM,"73007, Arcadia, Oklahoma",73007,Oklahoma,Region 6,Transient non-community system,240,,Lincoln,8,2,11,-97.326982,35.668896,-97.326982,35.668896,-97.406982,-97.246982,35.588896,35.748896
OK4001138,THREE SPRINGS FARM,"74364, Rose, Oklahoma",74364,Oklahoma,Region 6,Non-Transient non-community system,89,,Cherokee,16,122,12,-94.922286,36.201944,-94.922286,36.201944,-95.066286,-94.778286,36.057944,36.345944
OK3003801,GOTEBO,"73041, Gotebo, Oklahoma",73041,Oklahoma,Region 6,Community water system,272,,Kiowa,2,10,20,-98.873717,35.06752,-98.873717,35.06752,-99.010717,-98.736717,34.93052,35.20452
OK2000811,GRACEMONT PWA,"73042, Gracemont, Oklahoma",73042,Oklahoma,Region 6,Community water system,336,,Caddo,8,213,28,-98.255867,35.187601,-98.255867,35.187601,-98.433867,-98.077867,35.009601,35.365601
OK3000606,GREENFIELD PWA,"73043, Greenfield, Oklahoma",73043,Oklahoma,Region 6,Community water system,123,,Blaine,2,36,45,-98.379337,35.730621,-98.379337,35.730621,-98.445337,-98.313337,35.664621,35.796621
OK2004223,RODEO CORNER,"19426, Collegeville, Pennsylvania",19426,Oklahoma,Region 6,Transient non-community system,25,,Logan,2,41,26,-75.456305,40.185465,-75.456305,40.185465,-75.565305,-75.347305,40.076465,40.294465
OK2004255,LAZY E TRAINING CENTER,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Non-Transient non-community system,30,,Logan,10,3,29,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004250,LAZY E ARENA,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,25,,Logan,11,3,29,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004247,CENTRAL OKLAHOMA CAMP AND CONF CENTER,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,25,,Logan,3,14,25,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004207,LOGAN CO RWD #1,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Community water system,8907,,Logan,42,70,55,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK1020903,GUTHRIE,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Community water system,9925,,Logan,27,15,96,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004257,WHISPERING OAKS,"73003, Edmond, Oklahoma",73003,Oklahoma,Region 6,Community water system,350,,Logan,5,26,33,-97.48668,35.684813,-97.48668,35.684813,-97.53268,-97.44068,35.638813,35.730813
OK3001414,OKLAHOMA UNIVERSITY,"73019, Norman, Oklahoma",73019,Oklahoma,Region 6,Community water system,34000,,Cleveland,2,6,10,-97.444106,35.205408,-97.444106,35.205408,-97.468106,-97.420106,35.181408,35.229408
OK7005559,OKLAHOMA CITY EAST KOA,"73020, Choctaw, Oklahoma",73020,Oklahoma,Region 6,Transient non-community system,150,,Oklahoma,2,8,21,-97.268727,35.499997,-97.268727,35.499997,-97.420727,-97.116727,35.347997,35.651997
OK7005558,CHOCTAW CREEK GOLF COURSE,"73020, Choctaw, Oklahoma",73020,Oklahoma,Region 6,Transient non-community system,26,,Oklahoma,3,14,24,-97.268727,35.499997,-97.268727,35.499997,-97.420727,-97.116727,35.347997,35.651997
OK2005510,CHOCTAW,"73020, Choctaw, Oklahoma",73020,Oklahoma,Region 6,Community water system,3926,,Oklahoma,23,29,43,-97.268727,35.499997,-97.268727,35.499997,-97.420727,-97.116727,35.347997,35.651997
OK1010806,ANADARKO PUBLIC WORKS AUTHORITY,"73005, Anadarko, Oklahoma",73005,Oklahoma,Region 6,Community water system,6804,,Caddo,11,78,87,-98.248767,35.069286,-98.248767,35.069286,-98.406767,-98.090767,34.911286,35.227286
OK2000806,APACHE,"73006, Apache, Oklahoma",73006,Oklahoma,Region 6,Community water system,1521,,Caddo,13,52,42,-98.359263,34.894257,-98.359263,34.894257,-98.553263,-98.165263,34.700257,35.088257
OK2002613,CHICKASHA LAKE PARK,"73018, Chickasha, Oklahoma",73018,Oklahoma,Region 6,Community water system,50,,Caddo,6,17,34,-97.939301,35.046281,-97.939301,35.046281,-98.117301,-97.761301,34.868281,35.224281
OK2002601,SKYVIEW TP,"83704, Boise, Idaho",83704,Oklahoma,Region 6,Community water system,24,,Grady,6,61,41,-116.262912,43.612221,-116.262912,43.612221,-116.317912,-116.207912,43.557221,43.667221
OK1010821,CHICKASHA MUNICIPAL AUTHORITY,"73018, Chickasha, Oklahoma",73018,Oklahoma,Region 6,Community water system,16036,,Grady,12,63,126,-97.939301,35.046281,-97.939301,35.046281,-98.117301,-97.761301,34.868281,35.224281
OK3004708,COLE,"73010, Blanchard, Oklahoma",73010,Oklahoma,Region 6,Community water system,473,,McClain,3,13,23,-97.658166,35.138111,-97.658166,35.138111,-97.828166,-97.488166,34.968111,35.308111
OK2002607,GRADY CO RWD #3,"73011, Bradley, Oklahoma",73011,Oklahoma,Region 6,Community water system,80,,Grady,9,24,66,-97.708517,34.874585,-97.708517,34.874585,-97.844517,-97.572517,34.738585,35.010585
OK8005519,RIVER OAKS GOLF CLUB,"73013, Edmond, Oklahoma",73013,Oklahoma,Region 6,Transient non-community system,25,,Oklahoma,3,25,27,-97.479052,35.618281,-97.479052,35.618281,-97.674052,-97.284052,35.423281,35.813281
OK2000904,CALUMET,"73014, Calumet, Oklahoma",73014,Oklahoma,Region 6,Community water system,600,,Canadian,10,16,39,-98.242811,35.527739,-98.242811,35.527739,-98.461811,-98.023811,35.308739,35.746739
OK2000834,COBB CREEK CAFE,"73015, Carnegie, Oklahoma",73015,Oklahoma,Region 6,Transient non-community system,25,,Caddo,2,16,7,-98.601716,35.102985,-98.601716,35.102985,-98.849716,-98.353716,34.854985,35.350985
OK2000816,CADDO CO RWD #3,"73015, Carnegie, Oklahoma",73015,Oklahoma,Region 6,Community water system,3900,,Caddo,51,5,29,-98.601716,35.102985,-98.601716,35.102985,-98.849716,-98.353716,34.854985,35.350985
OK2000805,CARNEGIE,"73015, Carnegie, Oklahoma",73015,Oklahoma,Region 6,Community water system,1637,,Caddo,16,15,36,-98.601716,35.102985,-98.601716,35.102985,-98.849716,-98.353716,34.854985,35.350985
OK3003703,CASHION,"73016, Cashion, Oklahoma",73016,Oklahoma,Region 6,Community water system,900,,Kingfisher,3,9,24,-97.666399,35.834174,-97.666399,35.834174,-97.774399,-97.558399,35.726174,35.942174
OK3000806,CEMENT,"73017, Cement, Oklahoma",73017,Oklahoma,Region 6,Community water system,530,,Caddo,2,81,28,-98.138331,34.93819,-98.138331,34.93819,-98.263331,-98.013331,34.81319,35.06319
OK2002801,WILLOW,"73673, Willow, Oklahoma",73673,Oklahoma,Region 6,Community water system,114,,Greer,9,65,49,-99.506466,35.05136,-99.506466,35.05136,-99.888466,-99.124466,34.66936,35.43336
OK4002672,DANA CAKES AND COOKIES,"73082, Rush Springs, Oklahoma",73082,Oklahoma,Region 6,Transient non-community system,25,,Grady,3,2,6,-97.958987,34.782555,-97.958987,34.782555,-98.215987,-97.701987,34.525555,35.039555
OK8005533,REDBUD POWER PLANT,"73054, Luther, Oklahoma",73054,Oklahoma,Region 6,Non-Transient non-community system,25,,Oklahoma,4,0,16,-97.194547,35.661016,-97.194547,35.661016,-97.287547,-97.101547,35.568016,35.754016
OK2006059,COWBOY COVE LLC,"74075, Stillwater, Oklahoma",74075,Oklahoma,Region 6,Transient non-community system,26,,Payne,4,66,16,-97.050062,36.13489,-97.050062,36.13489,-97.239062,-96.861062,35.94589,36.32389
OK3006404,COE RATTAN LANDING,"74756, Sawyer, Oklahoma",74756,Oklahoma,Region 6,Transient non-community system,25,,Pushmataha,3,8,11,-95.364921,34.00462,-95.364921,34.00462,-95.473921,-95.255921,33.89562,34.11362
OK2004224,ROCK A WAY TAVERN,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,60,,Logan,3,6,6,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK4002673,COTTONWOOD RV PARK,"73018, Chickasha, Oklahoma",73018,Oklahoma,Region 6,Transient non-community system,72,,Grady,2,0,5,-97.939301,35.046281,-97.939301,35.046281,-98.117301,-97.761301,34.868281,35.224281
OK6005544,MART 23,"73121, Lake Aluma, Oklahoma",73121,Oklahoma,Region 6,Transient non-community system,26,,Oklahoma,3,44,16,-97.454765,35.493028,-97.454765,35.493028,-97.527765,-97.381765,35.420028,35.566028
OK6005572,BOUNDARY ON 66,"73054, Luther, Oklahoma",73054,Oklahoma,Region 6,Transient non-community system,25,,Oklahoma,4,6,12,-97.194547,35.661016,-97.194547,35.661016,-97.287547,-97.101547,35.568016,35.754016
OK2004263,WATERLOO WOODS,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,40,,Logan,3,7,11,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2006514,HITCHIN POST,"73642, Durham, Oklahoma",73642,Oklahoma,Region 6,Transient non-community system,26,,Roger Mills,2,13,13,-99.889781,35.84018,-99.889781,35.84018,-100.000781,-99.778781,35.72918,35.95118
OK3003405,RYAN UTILITIES AUTHORITY,"73565, Ryan, Oklahoma",73565,Oklahoma,Region 6,Community water system,800,,Jefferson,7,118,48,-97.953921,34.023281,-97.953921,34.023281,-98.205921,-97.701921,33.771281,34.275281
OK1011503,SNYDER PUBLIC WORKS AUTHORITY,"73566, Snyder, Oklahoma",73566,Oklahoma,Region 6,Community water system,1509,,Kiowa,8,166,101,-98.952822,34.658091,-98.952822,34.658091,-99.106822,-98.798822,34.504091,34.812091
OK2001601,STERLING PWA,"73567, Sterling, Oklahoma",73567,Oklahoma,Region 6,Community water system,762,,Comanche,8,18,48,-98.172572,34.750171,-98.172572,34.750171,-98.185572,-98.159572,34.737171,34.763171
OK3003803,NORTH FORK WATER ASSOCIATION,"73655, Lone Wolf, Oklahoma",73655,Oklahoma,Region 6,Transient non-community system,81,,Kiowa,5,10,19,-99.247873,34.989685,-99.247873,34.989685,-99.421873,-99.073873,34.815685,35.163685
OK2002201,DEWEY CO RWD #1,"73658, Eagle City, Oklahoma",73658,Oklahoma,Region 6,Community water system,129,,Dewey,6,52,37,-98.704182,35.929921,-98.704182,35.929921,-98.826182,-98.582182,35.807921,36.051921
OK2006518,TWEEDS HILLTOP CAFE,"73642, Durham, Oklahoma",73642,Oklahoma,Region 6,Transient non-community system,60,,Roger Mills,2,19,15,-99.889781,35.84018,-99.889781,35.84018,-100.000781,-99.778781,35.72918,35.95118
OK8005598,BROKEN HORN RANCH EVENT CENTER,"73054, Luther, Oklahoma",73054,Oklahoma,Region 6,Transient non-community system,299,,Oklahoma,2,6,4,-97.194547,35.661016,-97.194547,35.661016,-97.287547,-97.101547,35.568016,35.754016
OK1011201,WAURIKA PUBLIC WORKS AUTHORITY,"73573, Waurika, Oklahoma",73573,Oklahoma,Region 6,Community water system,2100,,Jefferson,25,126,98,-97.997152,34.168875,-97.997152,34.168875,-98.250152,-97.744152,33.915875,34.421875
OK3007506,GOLDEN WEST MHP,"95361, Valley Home, California",95361,Oklahoma,Region 6,Community water system,102,,Washita,2,18,22,-120.847572,37.76967,-120.847572,37.76967,-121.164572,-120.530572,37.45267,38.08667
OK2003806,LONE WOLF,"73655, Lone Wolf, Oklahoma",73655,Oklahoma,Region 6,Community water system,440,,Kiowa,9,54,30,-99.247873,34.989685,-99.247873,34.989685,-99.421873,-99.073873,34.815685,35.163685
OK3003804,KIOWA RURAL WATER DISTRICT #1,"73655, Lone Wolf, Oklahoma",73655,Oklahoma,Region 6,Community water system,135,,Kiowa,2,21,23,-99.247873,34.989685,-99.247873,34.989685,-99.421873,-99.073873,34.815685,35.163685
OK2000895,FORT COBB SP DEER RUN,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,25,,Caddo,3,8,17,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK6005582,HI-10 MARKET,"73020, Choctaw, Oklahoma",73020,Oklahoma,Region 6,Transient non-community system,26,,Oklahoma,3,6,17,-97.268727,35.499997,-97.268727,35.499997,-97.420727,-97.116727,35.347997,35.651997
OK4002687,4 STOP,"73089, Tuttle, Oklahoma",73089,Oklahoma,Region 6,Transient non-community system,50,,Grady,2,23,3,-97.814872,35.289646,-97.814872,35.289646,-97.958872,-97.670872,35.145646,35.433646
OK8005589,MONTELLANO EVENT CENTER,"73131, Oklahoma City, Oklahoma",73131,Oklahoma,Region 6,Transient non-community system,50,,Oklahoma,3,1,6,-97.482029,35.604451,-97.482029,35.604451,-97.539029,-97.425029,35.547451,35.661451
OK4006378,ROLLING STONE STABLES AND RV PARK,"74804, Shawnee, Oklahoma",74804,Oklahoma,Region 6,Transient non-community system,25,,Pottawatomie,2,8,2,-96.918292,35.355851,-96.918292,35.355851,-97.090292,-96.746292,35.183851,35.527851
OK4005573,TIMBERLAND MHC,"80202, Denver, Colorado",80202,Oklahoma,Region 6,Community water system,200,,Oklahoma,5,61,40,-104.994542,39.748681,-104.994542,39.748681,-105.011542,-104.977542,39.731681,39.765681
OK2004280,PIONEER RV PARK,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,40,,Logan,3,3,13,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK7005594,WOMEN'S FIRSTEP,"73165, Moore, Oklahoma",73165,Oklahoma,Region 6,Non-Transient non-community system,56,,Oklahoma,2,11,24,-97.310342,35.31123,-97.310342,35.31123,-97.441342,-97.179342,35.18023,35.44223
OK2000894,FORT COBB SP TENT HILL,"73038, Fort Cobb, Oklahoma",73038,Oklahoma,Region 6,Transient non-community system,25,,Caddo,3,9,16,-98.439852,35.09934,-98.439852,35.09934,-98.587852,-98.291852,34.95134,35.24734
OK4002661,TRINITY CROSSING PENTECOSTAL HOLINESS CH,"73089, Tuttle, Oklahoma",73089,Oklahoma,Region 6,Transient non-community system,50,,Grady,2,14,22,-97.814872,35.289646,-97.814872,35.289646,-97.958872,-97.670872,35.145646,35.433646
OK2002640,"CHICKASHA MEAT COMPANY, LLC","73018, Chickasha, Oklahoma",73018,Oklahoma,Region 6,Transient non-community system,26,,Grady,7,12,21,-97.939301,35.046281,-97.939301,35.046281,-98.117301,-97.761301,34.868281,35.224281
OK3002157,DELAWARE CO RWSG&SWM DISTRICT 11,"74364, Rose, Oklahoma",74364,Oklahoma,Region 6,Community water system,750,,Delaware,2,9,18,-94.922286,36.201944,-94.922286,36.201944,-95.066286,-94.778286,36.057944,36.345944
OK5005577,JJ'S,"73141, Oklahoma City, Oklahoma",73141,Oklahoma,Region 6,Transient non-community system,26,,Oklahoma,4,9,18,-97.356701,35.491981,-97.356701,35.491981,-97.428701,-97.284701,35.419981,35.563981
OK2005519,BETHANY,"73008, Bethany, Oklahoma",73008,Oklahoma,Region 6,Community water system,20307,,Oklahoma,42,26,67,-97.638869,35.493485,-97.638869,35.493485,-97.684869,-97.592869,35.447485,35.539485
OK2000803,BINGER PWA,"73009, Binger, Oklahoma",73009,Oklahoma,Region 6,Community water system,708,,Caddo,8,58,35,-98.344817,35.308645,-98.344817,35.308645,-98.499817,-98.189817,35.153645,35.463645
OK4002659,BRIDGE CREEK CONVENIENCE,"73010, Blanchard, Oklahoma",73010,Oklahoma,Region 6,Transient non-community system,50,,Grady,3,25,34,-97.658166,35.138111,-97.658166,35.138111,-97.828166,-97.488166,34.968111,35.308111
OK2001916,LUCKY TRIP OF BRISTOW LLC,"74010, Bristow, Oklahoma",74010,Oklahoma,Region 6,Transient non-community system,200,,Creek,3,26,29,-96.387451,35.82905,-96.387451,35.82905,-96.590451,-96.184451,35.62605,36.03205
OK2002215,COUNTRY INN BAR,"73724, Canton, Oklahoma",73724,Oklahoma,Region 6,Transient non-community system,50,,Dewey,2,30,17,-98.590027,36.053555,-98.590027,36.053555,-98.731027,-98.449027,35.912555,36.194555
OK4001487,SONIC DRIVE IN (LITTLE AXE),"73075, Pauls Valley, Oklahoma",73075,Oklahoma,Region 6,Transient non-community system,1000,NORMAN,Cleveland,2,9,13,-97.221083,34.741999,-97.221083,34.741999,-97.388083,-97.054083,34.574999,34.908999
OK3005903,COE APPALACHIA BAY,"74063, Sand Springs, Oklahoma",74063,Oklahoma,Region 6,Transient non-community system,75,,Pawnee,3,4,9,-96.111731,36.143386,-96.111731,36.143386,-96.334731,-95.888731,35.920386,36.366386
OK2002146,HICKORY MEADOWS,"74344, Grove, Oklahoma",74344,Oklahoma,Region 6,Community water system,157,,Delaware,5,30,28,-94.763227,36.590976,-94.763227,36.590976,-94.908227,-94.618227,36.445976,36.735976
OK2007608,LITTLE SAHARA SP & REC AREA,"73104, Oklahoma City, Oklahoma",73104,Oklahoma,Region 6,Transient non-community system,25,,Woods,9,20,30,-97.507109,35.470546,-97.507109,35.470546,-97.523109,-97.491109,35.454546,35.486546
OK2002664,SOUTHERN HILLS ESTATES,"73065, Newcastle, Oklahoma",73065,Oklahoma,Region 6,Community water system,200,,Grady,9,371,65,-97.600287,35.254742,-97.600287,35.254742,-97.723287,-97.477287,35.131742,35.377742
OK6002161,CAAIR,"74346, Jay, Oklahoma",74346,Oklahoma,Region 6,Community water system,100,,Delaware,4,62,12,-94.796814,36.424621,-94.796814,36.424621,-95.002814,-94.590814,36.218621,36.630621
OK2004269,OAK HILLS INDUSTRIAL DEVELOPMENT,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,100,,Logan,7,6,11,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004285,RAILHEAD BBQ,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,40,GUTHRIE,Logan,3,5,14,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
OK2004440,INDIAN CREEK VILLAGE WINERY,"73768, Ringwood, Oklahoma",73768,Oklahoma,Region 6,Transient non-community system,25,,Major,3,33,15,-98.242478,36.380796,-98.242478,36.380796,-98.388478,-98.096478,36.234796,36.526796
OK2004286,CIMARRON NATIONAL GOLF COURSE,"73044, Guthrie, Oklahoma",73044,Oklahoma,Region 6,Transient non-community system,50,,Logan,3,3,10,-97.421637,35.878181,-97.421637,35.878181,-97.638637,-97.204637,35.661181,36.095181
