AK,2011-06-10T15:30:00.000Z,Flood,Crooked Creek,442
AK,2011-06-10T15:30:00.000Z,Flood,Red Devil,566
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Northern Cheyenne,98
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Rocky Boy's,117
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Fort Peck,48
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Blackfeet,19
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Crow,34
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Fort Belknap,42
NM,2011-06-26T22:31:00.000Z,Fire,Cochiti,202
NM,2011-06-26T22:31:00.000Z,Fire,Jemez,248
NM,2011-06-26T22:31:00.000Z,Fire,Santa Clara,126
AZ,2010-01-24T22:00:00.000Z,Severe Storm(s),Hopi,57
AZ,2010-01-24T22:00:00.000Z,Severe Storm(s),Navajo Nation,93
ND,2010-03-14T00:00:00.000Z,Flood,Spirit Lake,322
MN,2010-03-19T19:35:00.000Z,Flood,Upper Sioux,165
ND,2011-04-07T20:00:00.000Z,Flood,Standing Rock,324
VA,2012-10-29T23:43:00.000Z,Hurricane,Pamunkey,364
VA,2012-10-29T23:43:00.000Z,Hurricane,Mattaponi,362
CT,2013-02-10T00:47:00.000Z,Severe Storm(s),Mashantucket Pequot,82
WA,2014-07-23T00:41:00.000Z,Fire,Colville,29
WY,2011-07-22T15:30:00.000Z,Severe Storm(s),Wind River,173
MN,2011-07-28T13:57:00.000Z,Severe Storm(s),Mille Lacs,86
UT,2011-08-08T17:08:00.000Z,Flood,Uintah and Ouray,162
NE,2011-08-12T16:30:00.000Z,Flood,Omaha,281
NM,2011-11-23T12:30:00.000Z,Flood,Acoma,8
NM,2011-11-23T12:30:00.000Z,Flood,Cochiti,202
NM,2011-11-23T12:30:00.000Z,Flood,Santa Clara,126
MN,2012-07-06T13:05:00.000Z,Severe Storm(s),Fond du Lac,39
MN,2012-07-06T13:05:00.000Z,Severe Storm(s),Grand Portage,49
MN,2012-07-06T13:05:00.000Z,Severe Storm(s),Mille Lacs,86
WI,2012-08-02T16:30:00.000Z,Severe Storm(s),Red Cliff,113
NM,2012-08-24T16:00:00.000Z,Flood,Mescalero,270
NM,2012-08-24T16:00:00.000Z,Flood,Santa Clara,126
MS,2012-08-29T22:50:00.000Z,Hurricane,Mississippi Choctaw,87
WA,2012-09-25T11:00:00.000Z,Severe Storm(s),Colville,29
CT,2012-10-30T18:00:00.000Z,Hurricane,Mashantucket Pequot,82
NC,2013-03-01T17:00:00.000Z,Mud/Landslide,Eastern Cherokee,217
AZ,2013-03-05T14:00:00.000Z,Freezing,Navajo Nation,93
CT,2013-03-21T15:35:00.000Z,Severe Storm(s),Mashantucket Pequot,82
SD,2013-05-10T15:00:00.000Z,Severe Storm(s),Pine Ridge,293
ND,2013-05-29T16:23:00.000Z,Flood,Spirit Lake,322
ND,2013-06-25T14:17:00.000Z,Flood,Standing Rock,324
SD,2013-06-28T16:00:00.000Z,Severe Storm(s),Pine Ridge,293
MT,2013-07-10T12:26:00.000Z,Flood,Fort Belknap,42
MT,2013-07-10T12:26:00.000Z,Flood,Fort Peck,48
MT,2013-07-10T12:26:00.000Z,Flood,Rocky Boy's,117
ND,2013-07-12T18:09:00.000Z,Severe Storm(s),Spirit Lake,322
ND,2013-07-12T18:09:00.000Z,Severe Storm(s),Turtle Mountain,159
CA,2013-08-29T16:30:00.000Z,Fire,Karuk,67
NC,2013-09-25T09:27:00.000Z,Flood,Eastern Cherokee,217
NM,2013-09-27T18:55:00.000Z,Severe Storm(s),Santa Clara,126
NM,2013-09-30T19:29:00.000Z,Severe Storm(s),Cochiti,202
NM,2013-09-30T19:29:00.000Z,Severe Storm(s),Navajo Nation Reservation,94
NM,2013-09-30T19:29:00.000Z,Severe Storm(s),Sandia,311
NM,2013-09-30T19:29:00.000Z,Severe Storm(s),San Felipe,310
NM,2013-09-30T19:29:00.000Z,Severe Storm(s),Santo Domingo,317
NM,2013-10-24T17:30:00.000Z,Severe Storm(s),Santa Clara,126
NM,2013-10-29T12:39:00.000Z,Flood,Isleta,245
NM,2013-10-29T12:39:00.000Z,Flood,Navajo Nation Reservation,94
NM,2013-10-29T12:39:00.000Z,Flood,Sandia,311
SD,2013-11-08T15:54:00.000Z,Severe Storm(s),Pine Ridge,293
SD,2013-11-08T15:54:00.000Z,Severe Storm(s),Cheyenne River,27
WA,2014-04-02T17:16:00.000Z,Mud/Landslide,Stillaguamish,142
WA,2014-04-02T17:16:00.000Z,Mud/Landslide,Tulalip,155
WA,2014-04-02T17:16:00.000Z,Mud/Landslide,Sauk-Suiattle,318
MN,2014-07-21T15:29:00.000Z,Flood,Bois Forte,21
MN,2014-07-21T15:29:00.000Z,Flood,Prairie Island,110
MN,2014-07-21T15:29:00.000Z,Flood,Red Lake,302
IA,2014-07-24T09:48:00.000Z,Flood,Sac and Fox/Meskwaki,122
SD,2014-07-28T17:30:00.000Z,Flood,Standing Rock,325
WA,2014-08-11T18:30:00.000Z,Fire,Colville,29
ND,2014-08-19T15:13:00.000Z,Flood,Standing Rock,324
NM,2014-10-06T19:20:00.000Z,Severe Storm(s),Acoma,8
NM,2014-10-06T19:20:00.000Z,Severe Storm(s),Santa Clara,126
MT,2014-10-09T21:35:00.000Z,Severe Storm(s),Fort Belknap,42
NV,2014-11-05T12:00:00.000Z,Flood,Moapa River,272
CA,2012-09-24T00:37:00.000Z,Fire,Campo,196
